"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"expert informatica (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"pilote maquette numérique |","services autres","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","autre","hybride","fès"
"pilote de documentation technique |","services autres","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","autre","hybride","fès"
"directeur marketing/directrice marketing |","agroalimentaire","marketing, communication","expert (10 ou plus)","bac +5 et plus","cdi","non","agadir"
"ingénieur support n2 multimédia |","télécom","informatique, nouvelles technologies","fraichement diplômé","bac +5 et plus","autre","non","fès"
"chef d'équipe production |","services autres","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","tanger"
"planner |","electricité, eau, gaz, nucléaire, énergie","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","nador"
"quality engineer |","electricité, eau, gaz, nucléaire, énergie","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","nador"
"manager de rayon traiteur (chef cuisinier) |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","salé"
"consultant(e) support fai |","télécom","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","autre","hybride","fès"
"technicien bureau d´etudes |","métallurgie, sidérurgie","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"hr development specialist |","automobile, matériels de transport, réparation","rh, formation","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","tanger"
"responsable rh sénior - had soualem |","agroalimentaire","rh, formation","expert (10 ou plus)","bac +5 et plus","cdi","non","casablanca"
"electrical design leader |","electricité, eau, gaz, nucléaire, énergie","métiers du btp","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"développeur it (h/f) |","tourisme, loisirs","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"contrôleur de gestion (h/f) |","distribution, vente, commerce de gros","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable rh |","marketing, communication, médias","rh, formation","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"responsable commercial |","marketing, communication, médias","management, direction générale","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"formateur en relation client |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","tanger"
"réceptionniste -","industrie, production, fabrication, autres","secrétariat, assistanat","junior (de 3 à 5 ans)","bac +3","intérim","non","casablanca"
"téléconseiller en prise des rdvs rénovations d'ampleur débutant ou expérimenté h/f (tanger) |","centres d´appel, hotline, call center","métiers des services","fraichement diplômé","bac +2","cdi","non","tanger"
"téléconseiller en prise des rdvs panneau photovoltaïque débutant ou expérimenté h/f |","centres d´appel, hotline, call center","métiers des services","fraichement diplômé","bac +2","cdi","non","tanger"
"contremaitre de production |","agroalimentaire","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +2","cdi","non","casablanca"
"cadres commerciaux – transport international & freight forwarding (routier, aérien, maritime) |","transports, logistique, services postaux","achats","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"administrateurs réseaux h/f (parfaitement bilingue) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"manager h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"responsable d'affaires (h/f) |","equipements mécaniques, machines","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","all"
"order to cash team |","services autres","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","cdi","non","rabat"
"technicien de laboratoire |","éducation, formation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","qualification avant bac","cdi","non","benguérir"
"technicien(ne) support (h/f) |","tourisme, loisirs","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"chargé(e) de communication interne (h/f) |","marketing, communication, médias","marketing, communication","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"ingénieur sécurité et risques industriels |","agroalimentaire","production, maintenance, qualité","expert (10 ou plus)","bac +5 et plus","cdi","non","casablanca"
"back office specialist with spanish |","services autres","commercial, vente","débutant (de 1 à 3 ans)","bac +3","cdi","non","rabat"
"testeur automaticien |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"ingénieur(e) de suivi et contrôle des travaux /ingénieur ferroviaire -","btp, construction","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","all"
"développeur java spring |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"data sciences and ai for remote sensing postdoc |","éducation, formation","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdd","non","rabat"
"ingénieur support fai |","services autres","informatique, nouvelles technologies","fraichement diplômé","bac +5 et plus","autre","hybride","fès"
"chargé(e) de la communication interne - junior |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"airport team leader (manager) |","tourisme, loisirs","tourisme, hôtellerie, restauration","débutant (de 1 à 3 ans)","bac","cdd","non","agadir"
"agent commercial h/f |","banque, assurance, finances","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","cdi","non","rabat"
"devop and it specialist |","éducation, formation","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","non","benguérir"
"ingénieur devops |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"responsable de la cellule animation de la formation |","banque, assurance, finances","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","rabat"
"tech lead.net / angular |","conseil, audit, comptabilité","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"manager d'équipe helpdesk (parfaitement bilingue) |","télécom","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"ingénieur support android n2 |","services autres","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","fès"
"confirmateur des rendez-vous h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","tanger"
"nespresso canada recrute des conseillers clients b2b bilingues (fr/en) - shift de nuit |","centres d´appel, hotline, call center","métiers des services","fraichement diplômé","bac","cdi","non","rabat"
"consultant support fai |","télécom","informatique, nouvelles technologies","fraichement diplômé","bac +3","autre","hybride","fès"
"chargé commercial interne |","agroalimentaire","r&d, gestion de projets","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","mohammédia"
"manager h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","tanger"
"conseillers commerciaux sédentaires en protection juridique h/f - emission d'appels |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"manager h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","tétouan"
"schließen sie sich einem team an, das jeden anruf in eine chance verwandelt! ???? |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","autre","non","all"
"consultant support fai |","services autres","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +4","autre","hybride","fès"
"hr generalist |","centres d´appel, hotline, call center","rh, formation","junior (de 3 à 5 ans)","bac +4","cdi","non","rabat"
"lead développement fournisseurs |","agroalimentaire","achats","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","agadir"
