"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"conseiller client en réception d'appel |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","rabat"
"chargé(e) de comptabilité clients et trésorerie |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"animateur hse (cdd) |","chimie, pétrochimie, matières premières, mines","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +2","cdd","non","taliouine"
"conseiller commercial porsche (h/f) |","automobile, matériels de transport, réparation","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur génie civil/structure métallique sénior h/f |","electricité, eau, gaz, nucléaire, énergie","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé crédit management - mission de 2 mois |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","intérim","non","casablanca"
"chef de projet événementiel |","marketing, communication, médias","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"assistante marketing |","import, export","marketing, communication","débutant (de 1 à 3 ans)","bac +3","cdi","non","mohammédia"
"electricien installateur dépanneur irve (bornes de recharge pour les véhicules électriques) h/f |","electricité, eau, gaz, nucléaire, énergie","métiers du btp","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"expert data scientist / researcher in generative ai, large language models (llm), machine learning (ml), and artificial intelligence (ai) |","informatique, ssii, internet","informatique, nouvelles technologies","fraichement diplômé","bac +2","cdi","hybride","rabat"
"responsable comptabilité - direction administrative et financière |","conseil, audit, comptabilité","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","non","rabat"
"chef de projet marketing / communication - secteur immobilier h/f |","immobilier, architecture, urbanisme","marketing, communication","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"rejoignez une équipe qui transforme chaque appel en opportunité ! ???? |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","autre","non","kénitra"
"chargé des achats (h/f) |","distribution, vente, commerce de gros","achats","débutant (de 1 à 3 ans)","bac +4","cdi","oui","casablanca"
"digital & data analyst ( h/f) |","automobile, matériels de transport, réparation","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"ingénieur d’études en assainissement et drainage d'ouvrage linéaire |","btp, construction","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","salé"
"responsable des soins du pôle |","santé, pharmacie, hôpitaux, équipements médicaux","métiers de la santé et du social","senior (de 5 à 10 ans)","bac +3","cdi","non","rabat"
"stagiaire pmo odoo |","services autres","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +4","stage","non","casablanca"
"operations manager (h/f)_mining operations lab |","electricité, eau, gaz, nucléaire, énergie","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"ingénieur electricien |","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","salé"
"responsable de trésorerie - direction administrative et financière |","santé, pharmacie, hôpitaux, équipements médicaux","gestion, comptabilité, finance","expert (10 ou plus)","bac +5 et plus","cdi","non","rabat"
"responsable commercial régional |","agroalimentaire","commercial, vente","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","nador"
"superviseur rh |","intérim, recrutement","rh, formation","débutant (de 1 à 3 ans)","bac +3","cdi","non","mohammédia"
"chef de partie pâtissier |","agroalimentaire","tourisme, hôtellerie, restauration","junior (de 3 à 5 ans)","bac +2","cdi","non","rabat"
"assistante du département transport |","conseil, audit, comptabilité","management, direction générale","débutant (de 1 à 3 ans)","bac +3","cdi","non","salé"
"chargé(e) de recrutement - senior |","intérim, recrutement","rh, formation","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"accountant - treasury |","aéronautique, navale","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"acheteur sénior (h/f) |","télécom","achats","junior (de 3 à 5 ans)","bac +5 et plus","cdd","non","casablanca"
"ingénieur energéticien / thermicien |","btp, construction","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","salé"
"finance partner |","télécom","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"responsable trésorerie middle office |","services autres","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"it onsite engineer |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +3","cdi","non","rabat"
"technicien résident barrages cdd |","btp, construction","métiers du btp","junior (de 3 à 5 ans)","bac +2","cdd","non","nador"
"chargée adv à marrakech |","immobilier, architecture, urbanisme","commercial, vente","débutant (de 1 à 3 ans)","bac +2","cdi","non","marrakech"
"project manager |","éducation, formation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"ingénieur d'études structure |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","salé"
"senior agri business developers (biostimulants or biofertilizers or biopesticides) |","agroalimentaire","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"administrateur système |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"people operations |","informatique, ssii, internet","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur d'études transport |","btp, construction","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","cdi","non","salé"
"juniper networks |","marketing, communication, médias","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +3","cdi","non","rabat"
"general manager |","éducation, formation","management, direction générale","expert (10 ou plus)","bac +5 et plus","cdi","non","benguérir"
"contrôleur interne |","santé, pharmacie, hôpitaux, équipements médicaux","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"technicien(ne) sig |","btp, construction","métiers du btp","fraichement diplômé","bac +2","cdi","non","salé"
"technicien salle de cathétérisme |","santé, pharmacie, hôpitaux, équipements médicaux","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"architecte réseaux & cybersécurité ( arc) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","autre","non","casablanca"
"ingénieur devops |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"infirmière de travail - cdd |","btp, construction","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +3","cdd","non","salé"
"stagiaire trésorerie - stage pré embauche |","santé, pharmacie, hôpitaux, équipements médicaux","gestion, comptabilité, finance","fraichement diplômé","bac +3","stage","non","casablanca"
"technicien(ne) helpdesk n2 |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"ingénieur etudes et développement informatique |","btp, construction","informatique, nouvelles technologies","fraichement diplômé","bac +5 et plus","cdi","non","salé"
"aide opératoire (bloc) |","services autres","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"ingénieur devops |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"lead buyer packaging |","agroalimentaire","achats","expert (10 ou plus)","bac +5 et plus","cdi","non","agadir"
"people administration specialist |","informatique, ssii, internet","rh, formation","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"technicien(ne) sig |","btp, construction","métiers du btp","fraichement diplômé","bac +2","cdi","non","salé"
"infirmière urgence (casablanca) |","santé, pharmacie, hôpitaux, équipements médicaux","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"stage en commerce et relation clients - ikea |","distribution, vente, commerce de gros","commercial, vente","fraichement diplômé","bac +3","stage","non","casablanca"
"supply chain technician |","aéronautique, navale","transport, logistique","fraichement diplômé","bac +3","autre","hybride","fès"
"technicien en hydraulique rurale et irrigation / cdd |","agriculture, pêche, aquaculture","r&d, gestion de projets","débutant (de 1 à 3 ans)","bac +2","cdd","non","kénitra"
"contrôleur de gestion confirmé(h /f) |","santé, pharmacie, hôpitaux, équipements médicaux","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"tow leader ( h/f) |","aéronautique, navale","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"sales development representative - btob - french market |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"ingénieur d'études en ouvrages d'art |","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","salé"
"comptable-mission de 3 mois |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","intérim","non","casablanca"
"chargé de recrutement et sourcing sénior |","santé, pharmacie, hôpitaux, équipements médicaux","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"jardinier |","agriculture, pêche, aquaculture","tourisme, hôtellerie, restauration","débutant (de 1 à 3 ans)","bac","intérim","non","tanger"
"technicien support fai |","télécom","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","autre","hybride","fès"
"technicien(ne) fluide |","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +2","cdi","non","salé"
"stagiaire pfe (gestion / commerce / rh) |","services autres","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"ingénieur d'études en génie rural confirmé |","agriculture, pêche, aquaculture","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","salé"
"infirmier auxiliaire (h/f) |","éducation, formation","rh, formation","senior (de 5 à 10 ans)","bac +2","cdi","non","benguérir"
"responsable développement rh (h/f) |","chimie, pétrochimie, matières premières, mines","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"acheteur capex |","btp, construction","achats","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chef de projet bâtiment |","btp, construction","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","salé"
"candidature spontanée : cadres paramédicaux supérieurs |","éducation, formation","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"conseiller clientèle bilingue |","centres d´appel, hotline, call center","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac","cdi","non","rabat"
"technicien(ne) en electricité |","btp, construction","métiers du btp","junior (de 3 à 5 ans)","bac +2","cdi","non","salé"
"recrutement multidisciplinaire : ingénieur, préparateur en pharmacie, secrétaire médicale, hôtesse d’accueil, aide-soignant(e), ambulancier |","éducation, formation","rh, formation","junior (de 3 à 5 ans)","bac +2","cdi","non","benguérir"
"technicien géologue |","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +2","cdi","non","salé"
"service desk agent germano-anglophones |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","hybride","salé"
"technical sales consulting in air conditioning (h/f) |","electricité, eau, gaz, nucléaire, énergie","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","cdd","non","casablanca"
"technicien sgbd -","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +2","cdi","non","marrakech"
"ingénieur résident barrage |","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","all"
"responsable administration des ventes |","services autres","commercial, vente","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"administration des ventes - adv (h/f) |","services autres","commercial, vente","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"infirmier référent (h/f) - expérience de 10 ans minimum |","éducation, formation","rh, formation","expert (10 ou plus)","bac +2","cdi","non","benguérir"
"ingénieur performance industrielle |","agroalimentaire","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","mohammédia"
"assistante du département ouvrages d'art |","conseil, audit, comptabilité","management, direction générale","débutant (de 1 à 3 ans)","bac +3","cdi","non","salé"
"responsable juridique |","intérim, recrutement","juridique","senior (de 5 à 10 ans)","bac +4","cdi","non","casablanca"
"contrôleur de gestion sociale (h/f) |","services autres","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"candidature spontanée : bloc opératoire |","éducation, formation","métiers de la santé et du social","junior (de 3 à 5 ans)","bac +2","cdi","non","benguérir"
"technicien d'études electricité cfo / cfa |","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +2","cdi","non","salé"
"risk manager |","agriculture, pêche, aquaculture","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","rabat"
"operations manager (expérience en call center) |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +3","cdi","non","tanger"
"technicien résident barrages |","btp, construction","métiers du btp","junior (de 3 à 5 ans)","bac +2","cdd","non","guelmim"
"chargé de communication |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +3","cdi","non","rabat"
"concepteur rédacteur |","éducation, formation","marketing, communication","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"développement commercial - sponsoring et partenariats |","centres d´appel, hotline, call center","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"technicien(ne) métreur bâtiment |","btp, construction","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +2","cdi","non","salé"
"conseiller commercial senior télévente |","centres d´appel, hotline, call center","métiers des services","junior (de 3 à 5 ans)","bac +2","cdi","non","marrakech"
"chef de projets evénementiels |","marketing, communication, médias","marketing, communication","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"infirmier polyvalent |","éducation, formation","rh, formation","senior (de 5 à 10 ans)","bac +2","cdi","non","benguérir"
"acheteur opex |","btp, construction","achats","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","casablanca"
"commercial bureau |","import, export","commercial, vente","débutant (de 1 à 3 ans)","bac +4","cdi","non","casablanca"
"planification et prise de rdv |","services autres","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"cadre commercial export |","papier, bois, caoutchouc, plastique, verre, tabac","commercial, vente","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"medical doctors/researchers and hospital pharmacist |","santé, pharmacie, hôpitaux, équipements médicaux","métiers de la santé et du social","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"responsable approvisionnement |","distribution, vente, commerce de gros","achats","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"comptable |","services autres","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"it system lead ( h/f) - mining operations lab |","services autres","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"sales development representative (sdr) |","immobilier, architecture, urbanisme","marketing, communication","expert (10 ou plus)","bac +3","cdi","non","casablanca"
"chargé(e) de clientèle - centre d'appel |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"gestionnaire cash monitoring |","banque, assurance, finances","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"comptable senior (h/f) |","agroalimentaire","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +4","cdi","non","kénitra"
"data architect (h/f) |","télécom","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur devops, backend (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"agent commercial back office |","agroalimentaire","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"technicien service desk fr/en (h/f) |","centres d´appel, hotline, call center","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +2","cdi","hybride","el jadida"
"responsable du contrôle financier et du pilotage cac finances (h/f) |","automobile, matériels de transport, réparation","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"médecin géneraliste |","éducation, formation","métiers de la santé et du social","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","rabat"
"chef de projets industriels composites |","aéronautique, navale","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"concepteur développeur python (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","rabat"
"conseillers commerciaux en réception d’appels (primes déplafonnées, challenges...) |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"plant quality specialist |","automobile, matériels de transport, réparation","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","tanger"
"ingénieur réseau (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +3","cdi","hybride","casablanca"
"responsable recrutement & communication interne |","agroalimentaire","rh, formation","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"agent achats & logistique |","import, export","transport, logistique","débutant (de 1 à 3 ans)","bac +3","cdi","non","mohammédia"
"ingénieur amélioration continue |","aéronautique, navale","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé des admissions - campus de benguerir |","éducation, formation","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"active directory engineer (h/ f) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","oui","rabat"
"conseiller de vente (h/f) - ikea morocco mall shop |","distribution, vente, commerce de gros","commercial, vente","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"ingénieur technico-commercial |","electricité, eau, gaz, nucléaire, énergie","métiers du btp","junior (de 3 à 5 ans)","bac +3","cdi","non","mohammédia"
"chargé de restauration collective |","tourisme, loisirs","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","autre","hybride","casablanca"
"chargé administratif - cpo |","informatique, ssii, internet","management, direction générale","débutant (de 1 à 3 ans)","bac +3","autre","hybride","casablanca"
"consultant dba / sql server (h/ f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","oui","rabat"
"infirmière de réanimation |","santé, pharmacie, hôpitaux, équipements médicaux","métiers de la santé et du social","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"chef de projet amoa |","banque, assurance, finances","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"it specialist |","automobile, matériels de transport, réparation","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","tanger"
"chargé(e) rh |","santé, pharmacie, hôpitaux, équipements médicaux","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"conseiller de vente (h/f) - ikea zenata |","distribution, vente, commerce de gros","commercial, vente","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"chef de produit - product owner en marketing digital |","marketing, communication, médias","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"conseillers technico-commerciaux pour un opérateur téléphonique (dimanche fixe) |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","rabat"
"stagiaire pfe comptabilité - rémunéré |","conseil, audit, comptabilité","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"ingénieur devops, frontend |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"contrôleur de gestion |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable de station de service |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +3","cdi","oui","casablanca"
"stagiaire qhse |","santé, pharmacie, hôpitaux, équipements médicaux","production, maintenance, qualité","fraichement diplômé","bac +5 et plus","cdi","non","casablanca"
"comptable |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","rabat"
"architect (h/f) |","marketing, communication, médias","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","salé"
"maintenance engineer |","papier, bois, caoutchouc, plastique, verre, tabac","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"superviseur outillage carrosserie (junior) |","automobile, matériels de transport, réparation","métiers du btp","débutant (de 1 à 3 ans)","bac +5 et plus","autre","non","casablanca"
"concepteur développeur bi (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"chargé achat |","services autres","achats","débutant (de 1 à 3 ans)","bac +3","intérim","non","mohammédia"
"ingénieur maintenance |","equipements mécaniques, machines","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","tanger"
"chargé(e) de contenus / content manager (h/f) |","marketing, communication, médias","marketing, communication","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"dessinateur 3d industriel |","automobile, matériels de transport, réparation","production, maintenance, qualité","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"responsable pilotage temps réel groupe |","informatique, ssii, internet","métiers des services","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"final/process/outgoing quality technician |","automobile, matériels de transport, réparation","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +2","cdi","non","el jadida"
"responsable formation |","agroalimentaire","rh, formation","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"stagiaire finance |","conseil, audit, comptabilité","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +3","stage","non","casablanca"
"chargé.e outreach & admission national et international |","éducation, formation","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"senior data engineer azure |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +4","cdi","hybride","salé"
"responsable logistique |","import, export","transport, logistique","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé(es) de clientèle technique en réception d’appels |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","rabat"
"ingénieur civil et structures senior (h/f) |","btp, construction","métiers du btp","expert (10 ou plus)","bac +5 et plus","cdi","hybride","casablanca"
"conseiller de service volkswagen (h/f) |","automobile, matériels de transport, réparation","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"comptable confirmé |","papier, bois, caoutchouc, plastique, verre, tabac","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +4","cdi","non","casablanca"
"stagiaire sam (software asset management) |","informatique, ssii, internet","informatique, nouvelles technologies","fraichement diplômé","bac +4","stage","non","casablanca"
"contrôleur permanent senior (h/f) |","agroalimentaire","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"digital marketing specialist |","informatique, ssii, internet","métiers des services","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"acheteurs (h/f) |","agroalimentaire","transport, logistique","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"consultant wms anglophone-h/f |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","salé"
"administrateur / expert poste de travail |","banque, assurance, finances","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +4","cdi","non","casablanca"
"expert technique java / angular (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +4","cdi","hybride","rabat"
"assistant de recherche dans le prototypage de filtres pour le traitement des eaux (cdd-12 m 1 |","éducation, formation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdd","non","benguérir"
"ai lead - h/f |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"team leader inside sales |","electricité, eau, gaz, nucléaire, énergie","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"senior legal specialist |","electricité, eau, gaz, nucléaire, énergie","juridique","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"architecte technique java web (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"support it desk francophone |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","casablanca"
"data lead- h/f |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","rabat"
"technical lead full stack java/angular (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +4","cdi","hybride","rabat"
"chef de département produits frais |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","all"
"conseillers commerciaux en assurance (5000dhs + primes déplafonnées + transport ) |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac","cdi","non","casablanca"
"expert technique java / angular (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +4","cdi","hybride","rabat"
"testeur informatique anglophone (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +4","cdi","hybride","salé"
"chargé(e) des plateformes académiques et de la scolarité |","éducation, formation","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","benguérir"
"innovation engineer(h/f) - mining operations lab |","electricité, eau, gaz, nucléaire, énergie","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"ingénieur réseau & sécurité client (h/f) |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","salé"
"agent général (h/f) |","banque, assurance, finances","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +3","autre","non","all"
"responsable audit |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","rabat"
"hospitality leader |","tourisme, loisirs","tourisme, hôtellerie, restauration","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable suivi crédit client |","agroalimentaire","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"manager h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"chef de projet formation |","services autres","commercial, vente","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable facturation |","agroalimentaire","gestion, comptabilité, finance","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"stagiaire en recrutement (h/f) |","aéronautique, navale","rh, formation","fraichement diplômé","bac +4","stage","non","casablanca"
